date,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality,fengxiang,fengli,bWendu,yWendu,tianqi
2018-04-26,113,85,103,6,50,0.7,153,307.0,轻度污染,西北风,1-2级,26℃,12℃,多云~晴
2018-04-27,107,39,163,4,36,0.5,129,274.0,轻度污染,西南风,3-4级,25℃,13℃,晴
2018-04-28,133,88,159,6,51,0.7,196,313.0,轻度污染,西南风,3-4级,27℃,17℃,晴
2018-04-29,176,133,156,8,55,1.0,155,336.0,中度污染,南风,3-4级,30℃,16℃,多云
2018-04-30,60,26,62,4,23,0.6,111,186.0,良,南风,3-4级,24℃,14℃,多云
2018-05-01,111,38,171,2,30,0.4,77,321.0,轻度污染,东北风,3-4级,25℃,13℃,阴
2018-05-02,46,15,38,2,21,0.3,92,68.0,优,北风,3-4级,25℃,13℃,多云~晴
2018-05-03,50,14,50,3,27,0.3,100,68.0,优,北风,1-2级,24℃,12℃,晴
2018-05-04,100,56,105,8,52,0.6,159,284.0,良,西南风,1-2级,27℃,16℃,晴~多云
2018-05-05,0,0,0,4,45,0.5,79,1.0,无,北风,3-4级,25℃,13℃,多云
2018-05-06,112,55,174,4,39,0.5,136,333.0,轻度污染,西南风,1-2级,28℃,14℃,晴
2018-05-07,92,51,124,7,42,0.7,150,309.0,良,南风,3-4级,28℃,13℃,晴
2018-05-08,81,28,75,4,36,0.5,137,251.0,良,东南风,3-4级,27℃,13℃,晴
2018-05-09,106,43,92,7,46,0.6,166,269.0,轻度污染,西南风,3-4级,29℃,17℃,晴~多云
2018-05-10,130,85,131,11,58,0.9,192,330.0,轻度污染,南风,3-4级,26℃,18℃,多云
2018-05-11,100,75,100,6,48,0.8,101,318.0,良,东风,1-2级,24℃,15℃,阴~多云
2018-05-12,169,128,115,4,40,1.4,149,338.0,中度污染,东南风,3-4级,28℃,16℃,小雨
2018-05-13,105,45,76,3,37,0.5,165,282.0,轻度污染,南风,1-2级,30℃,17℃,晴
2018-05-14,158,106,130,6,41,1.1,223,336.0,中度污染,南风,3-4级,34℃,22℃,晴~多云
2018-05-15,83,61,92,4,40,1.0,125,248.0,良,南风,1-2级,31℃,22℃,小雨
2018-05-16,138,105,83,5,34,1.7,164,329.0,轻度污染,东风,1-2级,29℃,21℃,多云~小雨
2018-05-17,54,38,54,3,27,0.9,73,108.0,良,北风,1-2级,25℃,19℃,小雨~多云
2018-05-18,84,21,44,4,28,0.5,140,280.0,良,南风,1-2级,28℃,16℃,多云~晴
2018-05-19,97,35,63,5,39,0.7,156,322.0,良,南风,1-2级,27℃,16℃,多云~小雨
